iter	Passed	Remaining
0	5527	409065
1	10036	366329
2	14543	349051
3	19017	337552
4	23581	330145
5	28110	323266
6	33303	323524
7	38317	320910
8	43819	321346
9	47790	310639
10	52344	304552
11	61715	324006
12	72513	345835
13	79839	347870
14	84073	336294
15	88658	326926
16	93473	318908
17	97813	309742
18	102188	301185
19	106933	294067
20	110970	285351
21	115409	278030
22	120103	271538
23	124480	264521
24	128736	257473
25	133932	252410
26	138681	246544
27	143435	240766
28	147722	234317
29	154621	231932
30	160997	228511
31	167234	224721
32	172857	219999
33	178919	215755
34	187550	214343
35	193437	209556
36	201647	207097
37	207445	201986
38	216736	200064
39	225981	197733
40	235426	195231
41	240970	189333
42	246272	183272
43	251088	176903
44	256617	171078
45	261252	164702
46	268954	160227
47	280664	157873
48	299880	159120
49	311712	155856
50	320209	150686
